data_group,event_type,finish_time,NCV,NCA,relative_NCV,relative_NCA,stroke_speed,velocity_mean,velocity_median,velocity_std_dev,velocity_minimum,velocity_maximum,velocity_data_range,velocity_iqr,velocity_skewness,velocity_kurtosis,acceleration_mean,acceleration_median,acceleration_std_dev,acceleration_minimum,acceleration_maximum,acceleration_data_range,acceleration_iqr,acceleration_skewness,acceleration_kurtosis,jerk_mean,jerk_median,jerk_std_dev,jerk_minimum,jerk_maximum,jerk_data_range,jerk_iqr,jerk_skewness,jerk_kurtosis,velocity_x_mean,velocity_x_median,velocity_x_std_dev,velocity_x_minimum,velocity_x_maximum,velocity_x_data_range,velocity_x_iqr,velocity_x_skewness,velocity_x_kurtosis,acceleration_x_mean,acceleration_x_median,acceleration_x_std_dev,acceleration_x_minimum,acceleration_x_maximum,acceleration_x_data_range,acceleration_x_iqr,acceleration_x_skewness,acceleration_x_kurtosis,jerk_x_mean,jerk_x_median,jerk_x_std_dev,jerk_x_minimum,jerk_x_maximum,jerk_x_data_range,jerk_x_iqr,jerk_x_skewness,jerk_x_kurtosis,velocity_y_mean,velocity_y_median,velocity_y_std_dev,velocity_y_minimum,velocity_y_maximum,velocity_y_data_range,velocity_y_iqr,velocity_y_skewness,velocity_y_kurtosis,acceleration_y_mean,acceleration_y_median,acceleration_y_std_dev,acceleration_y_minimum,acceleration_y_maximum,acceleration_y_data_range,acceleration_y_iqr,acceleration_y_skewness,acceleration_y_kurtosis,jerk_y_mean,jerk_y_median,jerk_y_std_dev,jerk_y_minimum,jerk_y_maximum,jerk_y_data_range,jerk_y_iqr,jerk_y_skewness,jerk_y_kurtosis,has_parkinson
1,1,5.180043800035492,60,69,11.582913642465515,13.320350688835342,316.96846756229473,660.1423572624011,412.3070762558645,931.9919304822859,0.0,7446.4127125257455,7446.4127125257455,616.5311348532073,4.653559571968341,28.16813102177463,103554.36831332342,60891.04900583528,152012.63089626515,0.0,1417160.1437862527,1417160.1437862527,96076.16879349304,4.8475780175323955,33.621464074551945,18812806.74929558,10564510.091019034,27480376.498229407,0.0,216177683.9567668,216177683.9567668,20017561.62192434,4.384355168368228,25.879618554331262,1057.1339184356834,749.9936583496432,1341.4773214050706,0.0,7199.939120156575,7199.939120156575,949.9919672428864,3.373894249329706,12.817961322746475,84896.52347461465,39999.32356015512,138986.30640459215,0.0,719987.8240827922,719987.8240827922,69998.81623027215,3.537687108585508,12.84089969671243,10762547.498950753,5999847.801678106,19380716.945394497,0.0,139996448.70582846,139996448.70582846,8999771.702517547,4.556525312066897,24.644683663653385,951.7776664294244,849.9928127962623,685.7526636647964,0.0,2599.9780156120964,2599.9780156120964,1049.9911216894955,0.5835860045580352,-0.5009436361609416,72009.65178968092,54999.06989521162,60025.291549595575,0.0,249995.77225096952,249995.77225096952,69998.8162302713,1.0736535075904,0.41635653207646106,8845554.835320666,5999847.801678361,9439072.354919054,0.0,43998883.87897466,43998883.87897466,8999771.702517545,1.7318690334507185,2.7028880872454737,0
1,3,4.820074599934742,51,60,10.580749103072073,12.447940121261261,210.63190695914818,410.33869788064277,309.9520068565263,356.16297626408806,0.0,1473.7008670185883,1473.7008670185883,388.83852872415645,1.2377275437792512,0.6126650975352743,65650.95893368025,50156.474280182345,59433.22410352929,0.0,247262.99620349234,247262.99620349234,58278.10382328614,1.4737203924979076,1.5926768083278668,11809363.723552428,8707799.610090645,10758551.33071835,0.0,45163954.19421689,45163954.19421689,10941306.382614361,1.3470186464273972,1.1888425406314873,819.9873089212157,649.9899399985325,637.9033918056616,0.0,2399.9628553792254,2399.9628553792254,849.986844613435,0.882074090443029,-0.13868653260468067,53169.085881163344,39998.76185555336,49406.62758344988,0.0,209993.49974166416,209993.49974166416,69997.83324721162,1.2415464403646719,1.0344454042391584,6285422.439638981,3999814.2797702677,6337870.72129203,0.0,24998839.248564173,24998839.248564173,6999674.989597192,1.3462525855010403,0.935221587271378,615.3750911228625,549.9914876910602,455.46591508161873,0.0,1999.9690461492655,1999.9690461492655,649.9899399985136,1.0041548704989658,1.0881076169966892,42498.6844715255,29999.071391665355,37301.355626405355,0.0,139995.66649443834,139995.66649443834,52498.37493541385,1.0907586549639172,0.32492624967868444,5652515.318980845,3999814.279770268,5783232.243131705,0.0,25998792.818506073,25998792.818506073,4999767.849712904,1.6000755562240931,2.0436169856923962,0
1,2,5.280308100162074,35,45,6.628401096315897,8.522229980977581,169.50754899035616,854.4680621493735,299.98249533040746,1608.1285093996394,0.0,7648.082987130189,7648.082987130189,382.4185156137637,2.8340565259782404,7.023041404360566,137676.77714536802,41407.095614726895,255361.67632001996,0.0,1471224.6314276655,1471224.6314276655,86541.68480438807,3.0525715229208013,9.789771430197765,24502455.87119601,7257506.624254252,44363995.68332014,0.0,223585783.69638604,223585783.69638604,17071614.99097195,2.894962187229447,8.118605141537813,964.6495928271962,599.9649906608081,1343.0703334409425,0.0,5699.667411277867,5699.667411277867,499.9708255506929,2.6543488075260533,5.959722116590003,71578.9477506193,29996.4991682193,130990.66578755995,0.0,569933.4841961921,569933.4841961921,39995.33222429418,2.8386141569810763,6.966540752462423,11349661.399052396,3999299.8540708963,20970605.82709693,0.0,110980570.95046377,110980570.95046377,6998774.744624557,3.1066647379903496,9.957756672436663,872.6763500521049,499.97082555069017,1191.3830509320367,0.0,5399.684915947453,5399.684915947453,599.9649906608349,2.972194635734676,8.189291902218718,68158.71199889963,24997.08264018342,130477.32205977279,0.0,559934.6511401051,559934.6511401051,39995.33222429257,3.0770352450344776,8.2800335997441,9134764.439411504,2999474.890553017,18944687.511458345,0.0,107981096.05989982,107981096.05989982,6998774.744623724,3.7646276014962927,14.989523448837687,0
1,4,13.329880499979481,82,95,6.151593031919996,7.12684558576097,237.26954048021506,1358.1592350038227,467.08020126434656,4268.776253966891,0.0,41562.49477580745,41562.49477580745,925.4609692699707,8.291574101710074,72.8649304383711,225669.60303556503,80182.05988993788,690635.5903923077,0.0,8128179.280020176,8128179.280020176,180562.23418850626,8.768386316573052,87.50784778337419,38767057.98308162,14055822.99763912,120530330.01687863,0.0,1228457614.5707214,1228457614.5707214,29278974.10437347,8.5128083386594,78.69557678841339,2116.6856422088917,1100.0098613054138,4323.637967098469,0.0,33500.30032157434,33500.30032157434,1475.0132231140358,5.935151591151381,39.317564609658014,152260.7944615937,50000.89648632986,435260.49050667195,0.0,3390060.781773165,3390060.781773165,100001.79297265095,6.5834879813139215,45.30037067127495,20330026.524257198,7000188.262972386,62786586.974535495,0.0,674018127.0348424,674018127.0348424,14000376.52594675,7.99928071753672,72.28111200854298,1596.3106068102147,850.0076200996275,3319.94514306714,0.0,24600.22053464862,24600.22053464862,1275.011430149421,6.158831586313272,39.71239006893864,117002.0977780093,40000.717189063,341480.3329323984,0.0,2640047.3344782167,2640047.3344782167,70001.25508085769,6.6047961784466365,44.25424974978754,15223938.844179718,5000134.473551821,47636136.4982242,0.0,510013716.3023288,510013716.3023288,11000295.841814796,8.073940585215622,72.8940617229373,0
1,2,5.740753900026903,51,62,8.883850603622113,10.79997524361904,302.3622230484516,757.1593288852864,355.8610607727551,1365.6197588041302,0.0,8401.277178961569,8401.277178961569,631.1951215797085,4.213871941711416,18.96780423849785,122068.56938503597,50881.83667981734,220803.55756987454,0.0,1559320.8832920764,1559320.8832920764,109335.21821777422,4.440865101409166,23.140366675973773,21918651.617645476,9875020.06471934,39205394.757930286,0.0,239365249.4389731,239365249.4389731,20624881.997029155,4.11529201973968,18.718035760101714,1125.8521289285206,749.9015068351679,1246.721974210892,0.0,6599.133260149555,6599.133260149555,899.8818082022116,2.724251690525525,8.393806421032533,76408.49890163884,29992.121064201434,129598.48060765359,0.0,779795.1476690472,779795.1476690472,59984.242128393875,3.7274425449393447,14.489135246074781,10979800.106681969,4998030.395382926,19976639.196147047,0.0,143943275.3870192,143943275.3870192,8996454.711688548,4.178551873536062,20.430327362793168,980.7222543291012,699.9080730461028,1144.799383365014,0.0,6099.1989222591665,6099.1989222591665,799.894940624193,2.9417129336389634,9.584552150211174,65037.8595970809,29992.12106419344,125886.61115406618,0.0,719810.9055406688,719810.9055406688,39989.4947522571,3.758748958146166,13.992725573821719,9208235.660645729,2998818.2372299824,19165544.50555802,0.0,132947608.51717892,132947608.51717892,6997242.553535285,4.303924725376242,20.55168408461284,0
1,4,3.389918699860573,37,42,10.914716037739138,12.389677664460642,601.0848726676634,1248.0959592288473,847.9995143381766,1184.2638119826506,0.0,5429.018749926676,5429.018749926676,1377.1826254978423,1.469963841746939,1.7523052798112948,211027.40574833823,136374.76406170407,194529.32571622735,0.0,1036450.2829840058,1036450.2829840058,267739.65086043865,1.3982532467410387,2.268512333225946,39314730.06677383,27865682.628565192,35677706.09562196,0.0,151058150.05651638,151058150.05651638,50351796.819948286,1.1604224614362848,0.7964194278583627,1762.945505368513,1350.0323769381826,1531.8745410863817,0.0,7400.177473587199,7400.177473587199,1975.0473662614513,1.4182747973716978,2.368960567325723,116212.47057931584,90004.31697685827,112114.12370927012,0.0,530025.4221970624,530025.4221970624,110005.27630504678,1.6169209019230637,2.4767675936162945,16627458.89379091,10000719.504771294,16976298.674555544,0.0,102007338.94866522,102007338.94866522,19001367.059065625,1.9164591991399005,5.43867668452015,1017.3320903138247,900.0215846254652,763.290903709156,0.0,3600.0863385018406,3600.0863385018406,1000.0239829171785,1.1498448410488595,1.5221146635850857,77534.58307471518,60002.877984571285,73832.35337424462,0.0,320015.34925106313,320015.34925106313,100004.79664095005,1.4707270034668107,1.7159670736538617,11465471.351429379,7000503.653339342,12712408.745527165,0.0,57004101.17719508,57004101.17719508,14001007.306678895,1.7034326834255855,2.5818509901797038,0
1,2,5.069886199897155,35,42,6.903508011818882,8.284209614182659,394.48901044175096,1428.9369025445558,509.65532277859836,2565.7049124855903,0.0,12977.193841240185,12977.193841240185,865.3877905173347,2.894362456838122,7.965048372465468,250351.46604090466,91957.08818663005,419616.8930800972,0.0,2470191.7602553214,2470191.7602553214,200264.84652203205,2.966918539298003,9.67070550798089,46321717.326801986,17668755.682125963,74624539.48277853,0.0,377991446.3454084,377991446.3454084,42014241.39847929,2.735439601701191,7.628028472986946,1935.3375578074376,1200.0269355401701,2341.3546488890474,0.0,11400.255887631678,11400.255887631678,1550.034791739395,2.4271723502063915,6.152801113142523,168779.50651475502,80003.59144566196,253007.92649187194,0.0,1200053.8716849561,1200053.8716849561,130005.8360992036,2.553040226468006,6.529089513915677,22939044.619552363,8500572.39307666,37721349.54670787,0.0,234015757.64469862,234015757.64469862,18251228.96160427,3.1038245190309084,11.608351841530972,1604.2026742464113,900.0202016551275,1958.248737434519,0.0,7300.163857869408,7300.163857869408,1050.0235685976547,1.8540896296421578,2.1555594676001633,135006.06056455686,55002.46911889249,203107.14703917835,0.0,730032.7719416817,730032.7719416817,87503.92814368849,1.904349367582632,2.1903852555718712,19308992.494680822,6000404.042171761,31578126.513182767,0.0,144009697.01212224,144009697.01212224,14000942.765067443,2.3936772666074293,5.3372965771254055,0
1,3,5.116742999991402,55,64,10.749025307718684,12.507956721709014,413.0228510064393,794.5764210893548,412.3309143801477,1349.5058700330662,0.0,8889.60525953842,8889.60525953842,681.1068515926709,4.062555101509905,18.370487131158797,133032.67116883805,61617.853334774525,224076.70349052112,0.0,1682649.5768647753,1682649.5768647753,110957.32995327245,4.075452673169953,20.400750944030026,23639600.65895051,10248745.986938013,39774235.291544594,0.0,251990702.57112497,251990702.57112497,19721015.443880834,3.774470137466611,16.465119912107955,1343.6037338618553,985.0015918345784,1461.965114336688,0.0,8274.01337141055,8274.01337141055,1108.1267908138957,3.008930945737193,10.593613162542049,93508.60144582548,38809.125436669114,153771.7147959892,0.0,882907.6036841533,882907.6036841533,77618.25087333261,3.473944915090827,12.56511823822573,13411537.28958642,4778381.29160259,24408396.52744063,0.0,167243345.2061047,167243345.2061047,10512438.8415255,3.7418148450538573,16.45323415057732,786.0312702839967,689.5011142842012,613.3926884108915,0.0,3250.5052530541448,3250.5052530541448,664.8760744883568,1.7164322072846228,4.174249129308576,46702.506881412126,29106.844077500828,53095.765295170124,0.0,320175.2848525027,320175.2848525027,46085.83645603643,2.725819174580704,9.641903978193394,6383917.405581654,3822705.033282294,8045348.722452336,0.0,62118956.79083901,62118956.79083901,5734057.549924057,3.2707066497451036,15.59781362729538,0
1,4,4.950767300091684,44,49,8.887511234710054,9.897455693199833,468.90450069789995,2489.693573037918,698.9133720898899,6545.820022299751,0.0,47895.49837964763,47895.49837964763,1705.8148600555664,5.609378942295117,34.06969230344201,432568.4356530239,129034.9025251975,1080011.0998202479,0.0,9339991.436034773,9339991.436034773,307640.18108005787,5.754058228046138,39.1751004810144,79233793.29866797,21932387.40179672,192465653.36268738,0.0,1412660919.2993221,1412660919.2993221,65357848.20808072,5.39051817503188,32.63523368834238,2760.5890299170383,1099.8295152953835,6473.300853242543,0.0,47492.63816048195,47492.63816048195,1849.7132757240674,5.742005486798643,35.912861981314144,243678.65758338635,59981.40310983847,700039.8176471321,0.0,4808509.149304493,4808509.149304493,114964.35596049868,5.598471385666243,32.76518127831699,38052096.461333044,10994886.251502827,109903185.04917666,0.0,955555568.7669837,955555568.7669837,21989772.5030071,6.074657196656468,42.3246157397168,1407.781779578075,849.8682618191401,1575.4258092723153,0.0,8598.6671195819,8598.6671195819,1449.7752701620793,2.536309594266981,7.77251264859302,109356.77556224179,39987.6020732189,170006.62804090398,0.0,859733.4445741731,859733.4445741731,109965.90570134018,3.019475061355478,9.712047214766907,16420044.989237223,5997210.682638228,26535593.16122281,0.0,169920969.3414036,169920969.3414036,16992096.934140325,3.3431895380738816,13.460537092451819,0
1,1,4.691282799933106,58,66,12.363356138075291,14.068646639878779,378.80414662854577,715.6715814888839,430.01868792128516,762.9803278444944,0.0,3752.638461247484,3752.638461247484,698.2407511370324,1.7379973003970441,2.704427335074695,120429.99527001978,74515.356174587,127490.19719975542,0.0,727974.0127772905,727974.0127772905,125662.90581916668,1.771631462222761,3.358956600321659,21722460.19338832,13322538.479873354,23489000.356954776,0.0,110283360.0549526,110283360.0549526,24709126.884009384,1.5755336921697582,1.9358692521538572,1130.2464126935954,999.726556682309,751.6080723164533,0.0,2799.2343587104187,2799.2343587104187,1174.6787041016623,0.5166042946370758,-0.7047738371429846,70819.09722795823,39978.12752543886,70007.63456969765,0.0,299835.9564407472,299835.9564407472,77457.62208052783,1.3863855387477373,1.1431447462035118,9439080.96080508,5995079.3660411425,10659396.238454685,0.0,53955714.294369474,53955714.294369474,8992619.04906156,2.030533215039108,4.355357346753378,914.9671312244475,749.7949175117104,767.3292131348192,0.0,3599.0156040562524,3599.0156040562524,849.7675731799518,1.3802864257310137,1.8688207436721784,59017.71075942137,39978.12752543308,61993.07299894184,0.0,269852.36079667485,269852.36079667485,52471.292377134465,1.6816253834258896,2.3690700815906007,7533290.519170105,4995899.471700323,9211211.452463329,0.0,48959814.8226686,48959814.8226686,5995079.366040998,2.256701770105575,5.240669689847374,0
