"x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2","x__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",x__time_reversal_asymmetry_statistic__lag_1,x__time_reversal_asymmetry_statistic__lag_2,x__time_reversal_asymmetry_statistic__lag_3,"y__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",y__abs_energy,y__minimum,y__lempel_ziv_complexity__bins_100,x__quantile__q_0.8,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",y__root_mean_square,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__mean_n_absolute_max__number_of_maxima_7,"x__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",data_group
0.9014925373134328,0.9976525821596244,2056429.122352941,4129793.182033097,6216738.087885986,19.042165355198485,69389450.0,344.0,0.32084309133489464,919.0,380.31111111111113,403.11855172483774,416.3873295910184,454.0,895.8283273856979,1
0.2006269592476489,0.7058823529411765,1217823.555282555,2445002.3456790117,3682939.007444169,8.852917147251057,71086972.0,350.0,0.2958435207823961,795.0,377.06666666666666,416.90140022085853,398.2768145753746,436.0,621.2561632296223,1
0.688953488372093,0.7638888888888888,1788198.5777262182,3542324.68997669,5249158.449648712,18.21985918209877,83224469.0,387.0,0.279445727482679,925.0,439.08888888888885,438.41112713665086,481.41562173458726,498.4285714285714,1082.2145759010164,1
0.04187946884576098,0.25602660016625106,573073.299500832,1118422.268333333,1655189.314691152,67.29959390799807,217781151.0,146.0,0.1553156146179402,932.0,516.5230769230768,425.3014867728101,523.9238709234936,514.5714285714286,899.1689907299177,1
0.8673218673218673,1.0896860986547086,3044123.7955056173,6089277.753950339,9153723.120181406,28.18937139294979,86197435.0,390.0,0.3221476510067114,1067.0,421.8444444444444,439.1303053262533,457.8412698412698,483.28571428571433,930.2588857459673,1
0.5808080808080808,1.1851851851851851,2863941.31598513,5731475.985018726,8547215.588679245,37.150617283950616,44053850.0,320.0,0.35424354243542433,931.0,340.38095238095235,403.187713234569,378.45259740259735,462.0,562.3013543724405,1
0.8247011952191236,0.968944099378882,3185472.1433021813,6374535.047021942,9846302.19873817,53.7648335326569,49623396.0,326.0,0.34365325077399383,958.0,351.1428571428571,391.96020838034093,409.5412587412588,429.71428571428567,1113.8309488164798,1
1.0059171597633136,1.1270983213429258,3214519.423076923,6107130.707729469,8853417.252427185,19.556958749547128,72748735.0,385.0,0.3397129186602871,1132.0,389.6,417.18105887632,426.3254901960785,465.8571428571428,1030.9487322466741,1
0.4192439862542955,-0.4552845528455284,-1716156.0488798372,-3444655.3701431495,-5189759.457905544,50.28102898407033,88990933.0,315.0,0.2515212981744422,942.6,380.3636363636364,424.86349794541036,429.69131313131317,495.0,1888.2342555129235,1
1.1122112211221122,1.5488126649076517,5433615.386243386,10797729.236702127,16229100.94117647,22.692420687686656,48436434.0,307.0,0.3394736842105263,1218.0,326.5833333333333,357.0214279283528,363.5837320574163,412.57142857142856,808.1910397009651,1
0.8338028169014085,1.0182291666666667,2251259.27154047,4564919.952755907,6925747.585751979,14.729756673177086,75370274.0,390.0,0.3090909090909091,929.0,402.0,442.45558585528727,439.6913086913087,474.71428571428567,912.3738237169994,1
1.5229885057471264,1.25,2941437.6890459363,5870263.387900356,8810171.164874552,33.00906318190835,51910332.0,364.0,0.3614035087719297,930.0,378.7619047619048,426.780406988739,415.08771929824564,494.71428571428567,973.1333278392424,1
0.5567010309278351,0.7523364485981309,2047279.37236534,4221787.581176471,6520274.21749409,39.217420735435404,86592211.0,387.0,0.25874125874125875,976.0,417.86666666666673,449.2734642594037,445.03368083400164,481.0,868.2992248549356,1
0.875,0.6935483870967742,1536232.3139158576,3044817.055374593,4553764.485245902,52.177533818938606,62969335.0,343.0,0.3247588424437299,850.0,366.28571428571433,449.9708279218858,441.2321428571429,505.28571428571433,1185.2098010579548,1
0.5469387755102041,0.4917491749174918,1068248.5529801324,2150686.493333333,3247577.38590604,17.181343876961957,54101763.0,361.0,0.3059210526315789,809.0,350.07142857142856,421.86055238419095,365.958223162348,469.57142857142856,1155.284531805744,1
0.8703241895261845,0.9982905982905984,3145569.839041096,6245567.285223368,9340862.829310345,33.84603696398568,111209916.0,361.0,0.2798634812286689,1060.0,415.06410256410254,435.6351841298831,458.0964250106823,477.71428571428567,960.1410608234833,1
0.6853932584269663,0.8078078078078078,1895672.6054216868,3812424.384848485,5711329.765243903,46.057138219300384,57383019.0,317.0,0.32335329341317365,895.0,355.5,414.49420515585547,425.2647058823529,473.0,1151.32432640037,1
1.2621359223300972,1.2373540856031129,3423007.859375,6961617.377952756,10626852.222222222,32.71964753440627,47006279.0,374.0,0.32558139534883723,982.0,387.38095238095235,426.8429217463506,442.5703918722786,461.1428571428572,945.9389627394908,1
0.9857142857142858,1.0148698884758365,2679096.3097014925,5331389.82330827,7924271.515151517,87.92827628142228,52019956.0,324.0,0.32592592592592595,946.0,347.0,438.93792693694587,442.1117845117846,487.1428571428572,1338.0390457078618,1
0.8579545454545454,1.4537037037037035,4143729.1441860464,8378821.248826291,12676704.800947867,27.154299554183808,36235756.0,378.0,0.34101382488479265,994.0,375.8,408.6380436171408,407.11515151515147,437.71428571428567,950.32371651293,1
0.7692307692307693,0.8741007194244604,2365770.949458484,4730501.410909091,7073301.608058607,59.0570881424357,51129613.0,316.0,0.3261648745519713,941.0,355.1428571428572,428.08908144070375,442.953007518797,486.0,1133.145215045362,1
