stroke_speed,acceleration_y_median,velocity_y_median,acceleration_median,jerk_median,jerk_mean,velocity_median,acceleration_mean,velocity_y_mean,jerk_y_median,acceleration_y_mean,jerk_y_mean,velocity_y_iqr,jerk_iqr,jerk_std_dev,data_group
316.96846756229473,54999.06989521162,849.9928127962622,60891.04900583527,10564510.091019034,18812806.74929558,412.3070762558645,103554.36831332342,951.7776664294245,5999847.801678361,72009.65178968092,8845554.835320666,1049.9911216894957,20017561.62192434,27480376.49822941,1
210.63190695914815,29999.071391665355,549.9914876910602,50156.474280182345,8707799.610090645,11809363.723552428,309.9520068565263,65650.95893368026,615.3750911228625,3999814.279770268,42498.6844715255,5652515.318980845,649.9899399985136,10941306.38261436,10758551.33071835,1
169.50754899035616,24997.082640183417,499.97082555069017,41407.095614726895,7257506.624254253,24502455.87119601,299.98249533040746,137676.77714536802,872.6763500521049,2999474.8905530167,68158.71199889963,9134764.439411504,599.9649906608349,17071614.99097195,44363995.68332014,1
237.26954048021503,40000.717189063,850.0076200996275,80182.05988993787,14055822.99763912,38767057.98308162,467.08020126434656,225669.60303556503,1596.310606810215,5000134.473551821,117002.0977780093,15223938.844179718,1275.011430149421,29278974.10437347,120530330.01687863,1
302.3622230484516,29992.121064193438,699.9080730461028,50881.83667981734,9875020.06471934,21918651.61764548,355.86106077275514,122068.56938503595,980.7222543291012,2998818.2372299824,65037.8595970809,9208235.660645727,799.8949406241929,20624881.997029155,39205394.75793029,1
601.0848726676634,60002.87798457129,900.0215846254653,136374.76406170407,27865682.62856519,39314730.06677383,847.9995143381766,211027.40574833823,1017.3320903138248,7000503.653339342,77534.58307471518,11465471.35142938,1000.0239829171784,50351796.81994829,35677706.09562196,1
394.48901044175096,55002.46911889249,900.0202016551276,91957.08818663003,17668755.682125963,46321717.32680199,509.6553227785984,250351.46604090466,1604.202674246411,6000404.042171761,135006.06056455686,19308992.494680826,1050.0235685976547,42014241.39847929,74624539.48277853,1
413.0228510064393,29106.84407750083,689.5011142842012,61617.85333477453,10248745.986938013,23639600.65895051,412.3309143801477,133032.67116883805,786.0312702839967,3822705.033282294,46702.506881412126,6383917.405581654,664.8760744883568,19721015.443880834,39774235.29154459,1
468.9045006979,39987.6020732189,849.8682618191401,129034.9025251975,21932387.40179672,79233793.29866797,698.9133720898898,432568.4356530239,1407.781779578075,5997210.682638228,109356.77556224179,16420044.989237225,1449.775270162079,65357848.20808072,192465653.36268735,1
378.80414662854577,39978.12752543308,749.7949175117103,74515.356174587,13322538.479873355,21722460.19338832,430.01868792128516,120429.99527001976,914.9671312244476,4995899.471700323,59017.710759421374,7533290.519170105,849.7675731799518,24709126.884009384,23489000.356954776,1
262.16266214969835,19991.61379683545,699.8532260570015,58913.544004384275,10644247.315009892,21378486.922657672,322.38862123678973,120545.34392425654,790.0782064197477,3997484.4027996273,48680.87775202665,7555684.80529162,799.8322583508278,16361958.65258675,42300646.45449853,1
410.4166471906957,50004.21394352373,600.025283128452,75523.99142941747,13489808.975889808,29567477.59014195,506.2471064486784,163538.49094333587,907.7305565276545,5000632.104846275,70765.45720108869,9093933.023658913,950.0400316200434,24164970.984042473,49394520.499537,1
255.83062292699955,30000.230959924087,700.0026945272616,77284.66586722889,12319266.462698456,33185647.741655376,548.9593962461806,184942.22947910687,1055.6858818438686,4125047.6355759287,85317.55823461896,13157504.882530512,925.0035606252887,29478511.013471134,54414476.06830296,1
538.6111469549401,40000.04433343496,1000.0005541677403,87029.51105003012,14977063.286423625,44431657.74740563,604.9289705617041,237722.86934031703,1212.000671651299,5500009.143772723,83977.36580228951,12730790.395725805,1050.0005818761292,41747372.27534302,73332408.13336775,1
221.7850422472705,49985.697349109265,699.89987428296,72221.31250512219,11069054.02219296,21068190.122732326,504.0337629979239,122600.17345196148,862.6216937941292,4997854.7557984935,65921.30855528357,8812061.193917438,849.8784187721692,24892399.57970356,23925830.028237004,1
