stroke_speed,acceleration_y_median,velocity_y_median,acceleration_median,jerk_median,jerk_mean,velocity_median,acceleration_mean,velocity_y_mean,jerk_y_median,acceleration_y_mean,jerk_y_mean,velocity_y_iqr,jerk_iqr,jerk_std_dev,velocity_mean,jerk_y_std_dev,acceleration_x_median,acceleration_std_dev,acceleration_iqr,data_group
316.96846756229473,54999.06989521162,849.9928127962623,60891.04900583528,10564510.091019034,18812806.74929558,412.3070762558645,103554.36831332342,951.7776664294244,5999847.801678361,72009.65178968092,8845554.835320666,1049.9911216894957,20017561.62192434,27480376.498229407,660.1423572624011,9439072.354919054,39999.32356015512,152012.63089626515,96076.16879349304,1
210.63190695914815,29999.071391665355,549.9914876910602,50156.474280182345,8707799.610090645,11809363.723552428,309.9520068565263,65650.95893368025,615.3750911228625,3999814.279770268,42498.6844715255,5652515.318980845,649.9899399985136,10941306.38261436,10758551.33071835,410.3386978806428,5783232.243131705,39998.76185555336,59433.22410352929,58278.10382328614,1
169.50754899035616,24997.08264018342,499.97082555069017,41407.095614726895,7257506.624254252,24502455.87119601,299.98249533040746,137676.77714536802,872.6763500521049,2999474.890553017,68158.71199889963,9134764.439411504,599.9649906608349,17071614.99097195,44363995.68332014,854.4680621493735,18944687.511458345,29996.4991682193,255361.67632002,86541.68480438807,1
237.26954048021503,40000.717189063,850.0076200996275,80182.05988993788,14055822.99763912,38767057.98308162,467.08020126434656,225669.60303556503,1596.3106068102147,5000134.473551821,117002.0977780093,15223938.844179718,1275.011430149421,29278974.10437347,120530330.01687863,1358.1592350038227,47636136.4982242,50000.89648632986,690635.5903923077,180562.23418850623,1
302.3622230484516,29992.12106419344,699.9080730461028,50881.83667981734,9875020.06471934,21918651.61764548,355.8610607727551,122068.56938503595,980.7222543291012,2998818.2372299824,65037.8595970809,9208235.660645729,799.894940624193,20624881.997029155,39205394.757930286,757.1593288852864,19165544.50555802,29992.121064201438,220803.5575698745,109335.21821777422,1
601.0848726676634,60002.877984571285,900.0215846254652,136374.76406170407,27865682.628565192,39314730.06677383,847.9995143381766,211027.40574833823,1017.3320903138248,7000503.653339342,77534.58307471518,11465471.35142938,1000.0239829171784,50351796.819948286,35677706.09562196,1248.0959592288473,12712408.745527163,90004.31697685827,194529.32571622732,267739.65086043865,1
394.48901044175096,55002.46911889249,900.0202016551275,91957.08818663003,17668755.682125963,46321717.32680199,509.6553227785984,250351.46604090463,1604.202674246411,6000404.042171761,135006.06056455686,19308992.494680826,1050.0235685976547,42014241.39847929,74624539.48277853,1428.9369025445558,31578126.513182767,80003.59144566196,419616.8930800972,200264.84652203205,1
413.0228510064393,29106.844077500828,689.5011142842012,61617.853334774525,10248745.986938013,23639600.65895051,412.3309143801477,133032.67116883805,786.0312702839967,3822705.033282294,46702.506881412126,6383917.405581654,664.8760744883568,19721015.443880837,39774235.291544594,794.5764210893548,8045348.722452336,38809.12543666912,224076.70349052112,110957.32995327243,1
468.9045006979,39987.6020732189,849.8682618191401,129034.9025251975,21932387.40179672,79233793.29866797,698.9133720898899,432568.4356530239,1407.781779578075,5997210.682638228,109356.7755622418,16420044.989237225,1449.775270162079,65357848.20808072,192465653.36268735,2489.693573037918,26535593.16122281,59981.40310983847,1080011.099820248,307640.18108005787,1
378.80414662854577,39978.12752543308,749.7949175117104,74515.356174587,13322538.479873354,21722460.19338832,430.0186879212852,120429.99527001978,914.9671312244476,4995899.471700323,59017.71075942137,7533290.519170105,849.7675731799518,24709126.884009384,23489000.356954776,715.6715814888839,9211211.452463329,39978.12752543886,127490.19719975542,125662.90581916668,1
262.16266214969835,19991.61379683545,699.8532260570015,58913.54400438427,10644247.315009892,21378486.922657672,322.3886212367897,120545.34392425657,790.0782064197477,3997484.4027996273,48680.877752026645,7555684.80529162,799.8322583508277,16361958.65258675,42300646.45449853,725.9955489809585,12901719.487645471,39983.22759366292,239035.2188523277,66705.4262049901,1
410.4166471906957,50004.21394352373,600.025283128452,75523.99142941747,13489808.975889808,29567477.59014195,506.2471064486784,163538.49094333587,907.7305565276544,5000632.104846275,70765.45720108869,9093933.023658913,950.0400316200434,24164970.984042477,49394520.499537,987.1190536800196,13144871.555914044,50004.21394352375,277163.03591986024,110272.2235467163,1
255.83062292699955,30000.230959924087,700.0026945272616,77284.6658672289,12319266.462698454,33185647.741655376,548.9593962461806,184942.22947910687,1055.6858818438689,4125047.6355759287,85317.55823461896,13157504.882530512,925.0035606252886,29478511.013471138,54414476.06830296,1141.7091009693536,26464148.536366664,50000.384933205205,308589.8319753088,125952.5320873649,1
538.61114695494,40000.04433343496,1000.0005541677403,87029.51105003012,14977063.286423624,44431657.74740563,604.9289705617041,237722.86934031703,1212.000671651299,5500009.143772723,83977.36580228951,12730790.395725803,1050.0005818761294,41747372.27534302,73332408.13336775,1395.7799881936182,20444250.19590727,50000.055416786505,405675.8397587881,180169.73269880025,1
221.7850422472705,49985.69734910927,699.8998742829601,72221.31250512219,11069054.02219296,21068190.122732323,504.0337629979239,122600.17345196148,862.6216937941293,4997854.755798493,65921.30855528357,8812061.193917437,849.8784187721692,24892399.57970356,23925830.028237004,804.0225517204534,10553445.743652126,39988.55787928608,136706.95710302776,136928.18253099598,1
300.98108637181224,39996.03151078511,699.9652748580509,70887.79404974382,12631886.392518496,35519371.02949663,412.48250770404616,195345.6780981017,1229.3507768515303,4999255.92672824,110423.82612760036,15007867.287107088,1174.941711368891,31303430.34960915,62900871.16567908,1141.3241346428829,25872894.678524666,59994.04726617766,354895.0524939878,160941.4435490396,1
425.6706268260667,64999.23398730413,999.9941075772869,111802.08129309752,19624098.48701834,45517439.32794946,660.2286363351263,253262.8342916654,1382.2499196673125,7999858.582688179,111404.9370984321,15086000.923207495,1249.992634471614,50123379.44205334,67519599.38484725,1522.7542634074382,22291262.547956824,91248.92463602312,375200.16990101215,256198.92370713645,1
