jerk_mean,x__mean_change,x__time_reversal_asymmetry_statistic__lag_1,x__time_reversal_asymmetry_statistic__lag_2,y__abs_energy,y__lempel_ziv_complexity__bins_100,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",y__c3__lag_1,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","x__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",data_group
18812806.74929558,0.9976525821596244,2056429.122352941,4129793.182033097,69389450.0,0.32084309133489464,380.31111111111113,65875135.24705882,416.3873295910184,1117.4834392558714,1
11809363.723552428,0.7058823529411765,1217823.555282555,2445002.3456790117,71086972.0,0.2958435207823961,377.06666666666666,72579862.18181819,398.2768145753746,862.4237583731855,1
24502455.87119601,0.7638888888888888,1788198.5777262182,3542324.68997669,83224469.0,0.279445727482679,439.08888888888885,85119608.18561485,481.41562173458726,1342.5288984938566,1
38767057.98308162,0.25602660016625106,573073.299500832,1118422.268333333,217781151.0,0.1553156146179402,516.5230769230768,80972121.65474209,523.9238709234936,1154.209900056957,1
21918651.61764548,1.0896860986547086,3044123.7955056173,6089277.753950339,86197435.0,0.3221476510067114,421.8444444444444,85169956.90337078,457.8412698412698,1246.1239494297067,1
39314730.06677383,1.1851851851851851,2863941.31598513,5731475.985018726,44053850.0,0.35424354243542433,340.38095238095235,65956484.2267658,378.45259740259735,791.6016553430367,1
46321717.32680199,0.968944099378882,3185472.1433021813,6374535.047021942,49623396.0,0.34365325077399383,351.1428571428571,60740736.44859813,409.5412587412588,1413.8337858621915,1
23639600.65895051,1.1270983213429258,3214519.423076923,6107130.707729469,72748735.0,0.3397129186602871,389.6,72803981.54567307,426.3254901960785,1341.2710585988311,1
79233793.29866797,-0.4552845528455284,-1716156.0488798372,-3444655.3701431495,88990933.0,0.2515212981744422,380.3636363636364,77112712.52545825,429.69131313131317,2348.251186876077,1
21722460.19338832,1.5488126649076517,5433615.386243386,10797729.236702127,48436434.0,0.3394736842105263,326.5833333333333,45593912.15079365,363.5837320574163,1137.5318529640174,1
21378486.922657672,1.0182291666666667,2251259.27154047,4564919.952755907,75370274.0,0.3090909090909091,402.0,87168817.48041776,439.6913086913087,1164.8829354945844,1
29567477.59014195,1.25,2941437.6890459363,5870263.387900356,51910332.0,0.3614035087719297,378.7619047619048,78061482.64664309,415.08771929824564,1209.5146988764104,1
