stroke_speed,acceleration_y_median,velocity_y_median,acceleration_median,jerk_median,jerk_mean,velocity_median,acceleration_mean,velocity_y_mean,jerk_y_median,data_group
316.96846756229473,54999.06989521162,849.9928127962622,60891.04900583527,10564510.091019034,18812806.74929558,412.3070762558645,103554.36831332342,951.7776664294245,5999847.801678361,1
210.63190695914815,29999.071391665355,549.9914876910602,50156.474280182345,8707799.610090645,11809363.723552428,309.9520068565263,65650.95893368026,615.3750911228625,3999814.279770268,1
169.50754899035616,24997.082640183417,499.97082555069017,41407.095614726895,7257506.624254253,24502455.87119601,299.98249533040746,137676.77714536802,872.6763500521049,2999474.8905530167,1
237.26954048021503,40000.717189063,850.0076200996275,80182.05988993787,14055822.99763912,38767057.98308162,467.08020126434656,225669.60303556503,1596.310606810215,5000134.473551821,1
302.3622230484516,29992.121064193438,699.9080730461028,50881.83667981734,9875020.06471934,21918651.61764548,355.86106077275514,122068.56938503595,980.7222543291012,2998818.2372299824,1
601.0848726676634,60002.87798457129,900.0215846254653,136374.76406170407,27865682.62856519,39314730.06677383,847.9995143381766,211027.40574833823,1017.3320903138248,7000503.653339342,1
394.48901044175096,55002.46911889249,900.0202016551276,91957.08818663003,17668755.682125963,46321717.32680199,509.6553227785984,250351.46604090466,1604.202674246411,6000404.042171761,1
413.0228510064393,29106.84407750083,689.5011142842012,61617.85333477453,10248745.986938013,23639600.65895051,412.3309143801477,133032.67116883805,786.0312702839967,3822705.033282294,1
468.9045006979,39987.6020732189,849.8682618191401,129034.9025251975,21932387.40179672,79233793.29866797,698.9133720898898,432568.4356530239,1407.781779578075,5997210.682638228,1
378.80414662854577,39978.12752543308,749.7949175117103,74515.356174587,13322538.479873355,21722460.19338832,430.01868792128516,120429.99527001976,914.9671312244476,4995899.471700323,1
262.16266214969835,19991.61379683545,699.8532260570015,58913.544004384275,10644247.315009892,21378486.922657672,322.38862123678973,120545.34392425654,790.0782064197477,3997484.4027996273,1
410.4166471906957,50004.21394352373,600.025283128452,75523.99142941747,13489808.975889808,29567477.59014195,506.2471064486784,163538.49094333587,907.7305565276545,5000632.104846275,1
255.83062292699955,30000.230959924087,700.0026945272616,77284.66586722889,12319266.462698456,33185647.741655376,548.9593962461806,184942.22947910687,1055.6858818438686,4125047.6355759287,1
538.6111469549401,40000.04433343496,1000.0005541677403,87029.51105003012,14977063.286423625,44431657.74740563,604.9289705617041,237722.86934031703,1212.000671651299,5500009.143772723,1
221.7850422472705,49985.697349109265,699.89987428296,72221.31250512219,11069054.02219296,21068190.122732326,504.0337629979239,122600.17345196148,862.6216937941292,4997854.7557984935,1
300.98108637181224,39996.03151078511,699.9652748580509,70887.79404974382,12631886.392518494,35519371.02949663,412.48250770404616,195345.67809810172,1229.3507768515306,4999255.92672824,1
425.67062682606667,64999.23398730412,999.9941075772866,111802.08129309752,19624098.48701834,45517439.32794946,660.2286363351262,253262.83429166538,1382.2499196673127,7999858.582688179,1
366.2496020295447,30001.616251114887,800.0215497246121,73539.34249526357,13342742.252618922,39107268.72289005,411.8685580620504,217125.1488264148,1048.599674103343,4000323.25457664,1
538.9128621643547,57489.210950686516,899.9155600007258,106246.53853864556,16345069.489993399,49316306.32939965,725.6441556716168,275062.3871699795,1455.1480148159906,4665353.278799525,1
338.1666230895805,39991.36805955867,499.9460474613903,85967.79316038845,12238142.3614633,23276341.394694384,469.94856398403846,139632.02220277232,816.5785441869239,3998705.2787904087,1
507.40666707759385,49995.97915716253,899.9638116869198,180980.39763381204,32456705.26483246,52944355.32582116,792.1024523129898,295992.4251169852,1320.6786017031532,6999155.639979904,1
380.9304766070009,59981.78635226528,799.8785664654347,138744.88009235114,27941911.05018366,42477882.57172798,820.5616417175884,235582.5651692768,1129.8284751324295,7496585.200231813,1
366.60950435223066,59981.25626286093,949.8516004902333,81304.85659971499,15701364.560300324,44108950.30020911,544.7349675488861,245438.93576783768,1572.83119271461,7496485.823775653,1
432.7483342961527,79973.97918487403,1249.7966958487973,129066.26913075632,20651525.39845285,60013628.75248562,628.2908883940368,327093.4284918201,1723.1571944015302,8995609.344522243,1
229.4984789632075,39997.620788087785,799.97620752713,62991.76105829992,10882968.424281884,29809133.040937934,447.20029510328544,167629.83855977812,1127.6260372057973,3999643.123522122,1
272.9764174145426,22500.244366673884,600.0032582133925,44508.762629674915,8122549.818440372,28920470.67986984,306.22743774472275,153617.14140888245,1075.58723613841,3000048.8734667087,1
508.52776539116377,49984.896882502566,1049.8414052889998,135536.69883356016,25606255.45014284,58252152.77819342,676.5026401772934,323914.3887377195,1549.7658839980622,6996828.584846677,1
349.33060212319833,30001.713117876134,600.0171309341995,77624.92826517344,13966014.635415627,37364801.2113832,412.1439583865923,207485.06843917465,1055.0301218926288,5000428.285582392,1
354.8202581401699,54994.57247636594,949.9531247757848,119292.39409077507,22920470.01934653,44640127.19163784,626.2530947128984,253173.91989440587,1365.3172441109466,5499185.891540228,1
