finish_time,NCV,relative_NCV,relative_NCA,stroke_speed,velocity_median,velocity_iqr,acceleration_median,acceleration_iqr,jerk_mean,jerk_median,jerk_std_dev,velocity_x_mean,velocity_x_median,velocity_x_std_dev,velocity_x_iqr,jerk_x_median,jerk_x_std_dev,velocity_y_mean,velocity_y_median,acceleration_y_median,acceleration_y_iqr,jerk_y_median,jerk_y_std_dev,jerk_y_maximum,data_group
5.180043800035492,60,11.582913642465517,13.320350688835342,316.96846756229473,412.3070762558645,616.5311348532073,60891.04900583528,96076.16879349304,18812806.74929558,10564510.091019034,27480376.498229407,1057.1339184356834,749.9936583496432,1341.4773214050706,949.9919672428864,5999847.801678106,19380716.945394497,951.7776664294244,849.9928127962623,54999.06989521162,69998.8162302713,5999847.801678361,9439072.354919054,43998883.87897466,1
4.820074599934742,51,10.580749103072073,12.44794012126126,210.63190695914815,309.9520068565263,388.8385287241565,50156.474280182345,58278.10382328614,11809363.723552428,8707799.610090645,10758551.33071835,819.9873089212157,649.9899399985325,637.9033918056616,849.986844613435,3999814.279770268,6337870.72129203,615.3750911228625,549.9914876910602,29999.071391665355,52498.37493541385,3999814.279770268,5783232.243131705,25998792.818506077,1
5.280308100162074,35,6.628401096315897,8.522229980977581,169.50754899035616,299.98249533040746,382.4185156137637,41407.095614726895,86541.68480438807,24502455.87119601,7257506.624254252,44363995.68332014,964.6495928271962,599.9649906608081,1343.0703334409425,499.9708255506929,3999299.854070896,20970605.82709693,872.6763500521049,499.97082555069017,24997.08264018342,39995.33222429257,2999474.890553017,18944687.511458345,107981096.05989982,1
13.32988049997948,82,6.151593031919996,7.12684558576097,237.26954048021503,467.08020126434656,925.4609692699707,80182.05988993788,180562.23418850623,38767057.98308162,14055822.99763912,120530330.01687863,2116.685642208892,1100.0098613054138,4323.637967098469,1475.0132231140358,7000188.262972386,62786586.974535495,1596.3106068102147,850.0076200996275,40000.717189063,70001.25508085769,5000134.473551821,47636136.4982242,510013716.3023288,1
5.740753900026903,51,8.883850603622113,10.79997524361904,302.3622230484516,355.8610607727551,631.1951215797085,50881.83667981734,109335.21821777422,21918651.61764548,9875020.06471934,39205394.757930286,1125.8521289285206,749.9015068351679,1246.721974210892,899.8818082022116,4998030.395382926,19976639.196147047,980.7222543291012,699.9080730461028,29992.12106419344,39989.4947522571,2998818.2372299824,19165544.50555802,132947608.51717892,1
3.389918699860573,37,10.914716037739138,12.389677664460642,601.0848726676634,847.9995143381766,1377.1826254978423,136374.76406170407,267739.65086043865,39314730.06677383,27865682.628565192,35677706.09562196,1762.945505368513,1350.0323769381826,1531.8745410863817,1975.0473662614515,10000719.504771294,16976298.674555544,1017.3320903138248,900.0215846254652,60002.877984571285,100004.79664095004,7000503.653339342,12712408.745527163,57004101.17719508,1
5.069886199897155,35,6.903508011818882,8.284209614182659,394.48901044175096,509.6553227785984,865.3877905173347,91957.08818663003,200264.84652203205,46321717.32680199,17668755.682125963,74624539.48277853,1935.3375578074376,1200.02693554017,2341.3546488890474,1550.034791739395,8500572.39307666,37721349.54670787,1604.202674246411,900.0202016551275,55002.46911889249,87503.92814368849,6000404.042171761,31578126.513182767,144009697.01212224,1
5.116742999991402,55,10.749025307718684,12.507956721709014,413.0228510064393,412.3309143801477,681.1068515926709,61617.853334774525,110957.32995327243,23639600.65895051,10248745.986938013,39774235.291544594,1343.6037338618553,985.0015918345784,1461.965114336688,1108.1267908138957,4778381.29160259,24408396.52744063,786.0312702839967,689.5011142842012,29106.844077500828,46085.83645603643,3822705.033282294,8045348.722452336,62118956.79083901,1
4.950767300091684,44,8.887511234710054,9.897455693199833,468.9045006979,698.9133720898899,1705.8148600555664,129034.9025251975,307640.18108005787,79233793.29866797,21932387.40179672,192465653.36268735,2760.5890299170383,1099.8295152953835,6473.300853242543,1849.7132757240677,10994886.251502829,109903185.04917666,1407.781779578075,849.8682618191401,39987.6020732189,109965.90570134018,5997210.682638228,26535593.16122281,169920969.3414036,1
4.691282799933106,58,12.363356138075291,14.06864663987878,378.80414662854577,430.0186879212852,698.2407511370324,74515.356174587,125662.90581916668,21722460.19338832,13322538.479873354,23489000.356954776,1130.2464126935954,999.726556682309,751.6080723164533,1174.6787041016623,5995079.366041143,10659396.238454685,914.9671312244476,749.7949175117104,39978.12752543308,52471.29237713447,4995899.471700323,9211211.452463329,48959814.8226686,1
4.66097730002366,36,7.723702065619856,9.440080302424269,262.16266214969835,322.3886212367897,523.4970094152723,58913.54400438427,66705.4262049901,21378486.922657672,10644247.315009892,42300646.45449853,1081.591349360825,699.8532260569937,1525.5587510340235,924.806048718164,3997484.4027996496,26420050.480968334,790.0782064197477,699.8532260570015,19991.61379683545,49979.034492078645,3997484.4027996273,12901719.487645471,94940254.5664917,1
3.509852099930868,33,9.402105576086807,12.536140768115745,410.4166471906957,506.2471064486784,725.5543002528719,75523.99142941747,110272.2235467163,29567477.59014195,13489808.975889808,49394520.499537,1302.3804595036113,900.0379246926678,1619.2107478740727,1050.044245474808,5000632.104846718,26358987.36815969,907.7305565276544,600.025283128452,50004.21394352373,60005.05673223059,5000632.104846275,13144871.555914044,97012262.83401944,1
4.909981099888682,34,6.924670239722682,7.94300409850543,255.83062292699955,548.9593962461806,621.6907879233695,77284.6658672289,125952.5320873649,33185647.741655376,12319266.462698454,54414476.06830296,1236.543221376451,950.0036568584306,1167.6828036988186,1050.0040417908951,6000069.28811066,21842978.92762883,1055.6858818438689,700.0026945272616,30000.230959924087,50000.38493321136,4125047.6355759287,26464148.536366664,190002194.12349224,1
